categoria,2021,2022,2023,1 gennaio - 19 maggio 2023,1 gennaio - 19 maggio 2024
Omicidi commessi,309,328,336,130,98
di cui con vittime di sesso femminile,122,130,118,46,30
di cui in ambito familiare/affettivo,154,148,147,59,46
di cui con vittime di sesso femminile,106,106,96,39,28
di cui da partner/ex partner,81,70,70,26,22
di cui con vittime di sesso femminile,71,61,64,24,17
