categoria,2021,2022,2023,1 gennaio - 06 ottobre 2023,1 gennaio - 06 ottobre 2024
Omicidi commessi,310,328,338,277,235
di cui con vittime di sesso femminile,123,130,118,98,82
di cui in ambito familiare/affettivo,155,148,148,124,112
di cui con vittime di sesso femminile,107,106,96,81,72
di cui da partner/ex partner,82,70,70,57,51
di cui con vittime di sesso femminile,72,61,64,52,44
