categoria,2021,2022,2023,1 gennaio - 24 marzo 2023,1 gennaio - 24 marzo 2024
Omicidi commessi,309,327,333,81,69
di cui con vittime di sesso femminile,122,130,118,29,22
di cui in ambito familiare/affettivo,154,147,146,38,34
di cui con vittime di sesso femminile,106,106,96,28,20
di cui da partner/ex partner,81,70,69,21,14
di cui con vittime di sesso femminile,71,61,64,19,10
