categoria,2021,2022,2023,1 - 14 gennaio 2023,1 - 14 gennaio 2024
Omicidi commessi,308,325,330,12,14
di cui con vittime di sesso femminile,122,128,120,4,8
di cui in ambito familiare/affettivo,153,144,146,5,6
di cui con vittime di sesso femminile,105,104,97,4,6
di cui da partner/ex partner,80,69,68,3,3
di cui con vittime di sesso femminile,70,61,63,3,3
