categoria,2021,2022,2023,1 gennaio - 18 febbraio 2023,1 gennaio - 18 febbraio 2024
Omicidi commessi,309,326,334,43,48
di cui con vittime di sesso femminile,122,128,120,16,16
di cui in ambito familiare/affettivo,154,145,147,22,22
di cui con vittime di sesso femminile,106,104,97,16,14
di cui da partner/ex partner,81,70,68,13,7
di cui con vittime di sesso femminile,71,61,63,11,6
