categoria,2021,2022,2023,1 - 7 luglio 2023,1 - 7 luglio 2024
Omicidi commessi,310,328,335,180,149
di cui con vittime di sesso femminile,123,130,117,64,53
di cui in ambito familiare/affettivo,155,148,146,83,72
di cui con vittime di sesso femminile,107,106,95,54,47
di cui da partner/ex partner,82,70,69,37,32
di cui con vittime di sesso femminile,72,61,63,33,27
