categoria,2021,2022,2023,1 gennaio - 1 settembre 2023,1 gennaio - 1 settembre 2024
Omicidi commessi,310,328,337,235,192
di cui con vittime di sesso femminile,123,130,118,80,65
di cui in ambito familiare/affettivo,155,148,147,102,92
di cui con vittime di sesso femminile,107,106,96,66,58
di cui da partner/ex partner,82,70,70,46,42
di cui con vittime di sesso femminile,72,61,64,42,36
