categoria,2021,2022,2023,1 gennaio - 30 giugno 2023,1 gennaio - 30 giugno 2024
Omicidi commessi,310,328,335,176,141
di cui con vittime di sesso femminile,123,130,117,62,49
di cui in ambito familiare/affettivo,155,148,146,81,67
di cui con vittime di sesso femminile,107,106,95,53,44
di cui da partner/ex partner,82,70,69,36,29
di cui con vittime di sesso femminile,72,61,63,32,24
