categoria,2021,2022,2023,1 gennaio - 4 agosto 2023,1 gennaio - 4 agosto 2024
Omicidi commessi,310,328,335,208,165
di cui con vittime di sesso femminile,123,130,117,73,57
di cui in ambito familiare/affettivo,155,148,146,93,78
di cui con vittime di sesso femminile,107,106,95,61,50
di cui da partner/ex partner,82,70,69,42,34
di cui con vittime di sesso femminile,72,61,63,38,29
