categoria,2021,2022,2023,1 gennaio - 4 febbraio 2023,1 gennaio - 4 febbraio 2024
Omicidi commessi,309,326,329,28,27
di cui con vittime di sesso femminile,122,128,119,9,9
di cui in ambito familiare/affettivo,154,145,146,15,11
di cui con vittime di sesso femminile,106,104,96,9,7
di cui da partner/ex partner,81,70,67,9,5
di cui con vittime di sesso femminile,71,61,62,7,4
