categoria,2021,2022,2023,1 gennaio - 31 marzo 2023,1 gennaio - 31 marzo 2024
Omicidi commessi,309,327,334,91,72
di cui con vittime di sesso femminile,122,130,118,34,24
di cui in ambito familiare/affettivo,154,147,147,45,37
di cui con vittime di sesso femminile,106,106,96,33,22
di cui da partner/ex partner,81,70,70,24,16
di cui con vittime di sesso femminile,71,61,64,22,12
