categoria,2021,2022,2023,1 gennaio - 17 marzo 2023,1 gennaio - 17 marzo 2024
Omicidi commessi,309,328,334,76,68
di cui con vittime di sesso femminile,122,130,119,28,22
di cui in ambito familiare/affettivo,154,147,147,38,33
di cui con vittime di sesso femminile,106,106,97,28,20
di cui da partner/ex partner,81,70,69,21,13
di cui con vittime di sesso femminile,71,61,64,19,10
