categoria,2021,2022,2023,1 gennaio - 8 settembre 2023,1 gennaio - 8 settembre 2024
Omicidi commessi,310,328,336,244,200
di cui con vittime di sesso femminile,123,130,118,84,67
di cui in ambito familiare/affettivo,155,148,147,108,94
di cui con vittime di sesso femminile,107,106,96,69,60
di cui da partner/ex partner,82,70,70,49,44
di cui con vittime di sesso femminile,72,61,64,44,38
