categoria,2021,2022,2023,1 - 28 gennaio 2023,1 - 28 gennaio 2024
Omicidi commessi,308,326,330,21,24
di cui con vittime di sesso femminile,122,128,120,8,9
di cui in ambito familiare/affettivo,154,145,147,11,10
di cui con vittime di sesso femminile,106,104,97,8,7
di cui da partner/ex partner,81,70,68,8,5
di cui con vittime di sesso femminile,71,61,63,7,4
