categoria,2020,2021,2022,1 gennaio - 17 dicembre 2022,1 gennaio - 17 dicembre 2023
Omicidi commessi,287,308,325,314,315
di cui con vittime di sesso femminile,119,122,128,124,115
di cui in ambito familiare/affettivo,147,153,144,139,141
di cui con vittime di sesso femminile,101,105,104,100,94
di cui da partner/ex partner,73,80,69,65,66
di cui con vittime di sesso femminile,68,70,61,58,61
