categoria,2020,2021,2022,1 gennaio - 29 ottobre 2022,1 gennaio - 29 ottobre 2023
Omicidi commessi,287,306,323,260,276
di cui con vittime di sesso femminile,119,120,127,97,100
di cui in ambito familiare/affettivo,147,151,143,114,123
di cui con vittime di sesso femminile,101,103,104,84,81
di cui da partner/ex partner,73,80,69,54,56
di cui con vittime di sesso femminile,68,70,61,49,52
