_id,Codice_ateco,Descrizione_ateco
1,01,"01 - COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI"
2,01.1,01.1 - COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI
3,01.11,"01.11 - Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi"
4,01.11.1,01.11.1 - Coltivazione di cereali (escluso il riso)
5,01.11.10,01.11.10 - Coltivazione di cereali (escluso il riso)
6,01.11.2,01.11.2 - Coltivazione di semi oleosi
7,01.11.20,01.11.20 - Coltivazione di semi oleosi
8,01.11.3,01.11.3 - Coltivazione di legumi da granella
9,01.11.30,01.11.30 - Coltivazione di legumi da granella
10,01.11.4,"01.11.4 - Coltivazioni miste di cereali, legumi da granella e semi oleosi"
11,01.11.40,"01.11.40 - Coltivazioni miste di cereali, legumi da granella e semi oleosi"
12,01.12,01.12 - Coltivazione di riso
13,01.12.0,01.12.0 - Coltivazione di riso
14,01.12.00,01.12.00 - Coltivazione di riso
15,01.13,"01.13 - Coltivazione di ortaggi e meloni, radici e tuberi"
16,01.13.1,"01.13.1 - Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)"
17,01.13.10,"01.13.10 - Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)"
18,01.13.2,"01.13.2 - Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)"
19,01.13.20,"01.13.20 - Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)"
20,01.13.3,01.13.3 - Coltivazione di barbabietola da zucchero
21,01.13.30,01.13.30 - Coltivazione di barbabietola da zucchero
22,01.13.4,01.13.4 - Coltivazione di patate
23,01.13.40,01.13.40 - Coltivazione di patate
24,01.14,01.14 - Coltivazione di canna da zucchero
