n,categoria,cat_norm,data,anno,valore
1,Omicidi commessi,omicidi,2024-06-16,2024,126
2,di cui con vittime di sesso femminile,omicidi_femminili,2024-06-16,2024,43
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2024-06-16,2024,59
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2024-06-16,2024,38
5,di cui da partner/ex partner,omicidi_da_partner,2024-06-16,2024,26
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2024-06-16,2024,21
