n,categoria,cat_norm,data,anno,valore
1,Omicidi commessi,omicidi,2024-10-20,2024,249
2,di cui con vittime di sesso femminile,omicidi_femminili,2024-10-20,2024,89
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2024-10-20,2024,117
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2024-10-20,2024,77
5,di cui da partner/ex partner,omicidi_da_partner,2024-10-20,2024,55
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2024-10-20,2024,48
