n,categoria,cat_norm,data,anno,valore
1,Omicidi commessi,omicidi,2023-09-18,2023,230
2,di cui con vittime di sesso femminile,omicidi_femminili,2023-09-18,2023,80
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2023-09-18,2023,101
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2023-09-18,2023,64
5,di cui da partner/ex partner,omicidi_da_partner,2023-09-18,2023,45
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2023-09-18,2023,41
