n,categoria,cat_norm,data,anno,valore
1,Omicidi commessi,omicidi,2024-09-08,2024,200
2,di cui con vittime di sesso femminile,omicidi_femminili,2024-09-08,2024,67
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2024-09-08,2024,94
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2024-09-08,2024,60
5,di cui da partner/ex partner,omicidi_da_partner,2024-09-08,2024,44
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2024-09-08,2024,38
