n,categoria,cat_norm,data,anno,valore
1,Omicidi commessi,omicidi,2023-09-03,2023,225
2,di cui con vittime di sesso femminile,omicidi_femminili,2023-09-03,2023,77
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2023-09-03,2023,98
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2023-09-03,2023,61
5,di cui da partner/ex partner,omicidi_da_partner,2023-09-03,2023,42
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2023-09-03,2023,38
